what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805847188
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805852811
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805859598
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805867946
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805870740
executed,command,org.eclipse.ui.workbench.texteditor,3.10.1.v20160818-1626,"org.eclipse.ui.edit.text.smartEnter",1501805878546
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805884626
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805888302
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805893794
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805896245
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805900723
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805903862
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805913995
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805914159
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805917027
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805920750
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805925844
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805940079
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805944573
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805946800
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805955189
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805959392
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805962436
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805965271
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805972717
activated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805974104
deactivated,workbench,org.eclipse.ui.workbench,3.108.3.v20170216-1539,"",1501805977846
