what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129097038
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1492129097038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129104866
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129113694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129173163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129313757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129358163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129400554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129493601
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1492129518913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1492129661148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1492129742336
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129744039
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129745226
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1492129745679
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1492129831683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1492129852839
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129853808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129854886
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1492129855339
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1492129961275
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129961275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129963243
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1492129970602
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129974649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129975805
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1492129976024
error,log,,,"Problems saving workspace",1492129977602
error,log,,,"Problems occurred while trying to save the state of the workbench.",1492129977602
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1492129978227
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1492129978242
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1492129978289
